step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m,fine_epe_px,fine_epe_in_px
251,train,6.7758,0.0001,22.36,6.5792,21.45,7469,192.9,18.078,18.043,nan,nan
252,train,6.8329,0.0000,24.66,6.7367,21.06,10717,193.6,19.504,19.472,nan,nan
253,train,6.0414,0.0001,13.50,5.9608,10.00,8360,194.4,10.583,10.540,nan,nan
254,train,7.6714,0.0001,30.05,7.6062,30.35,10997,195.1,26.909,26.896,nan,nan
255,train,5.9857,0.0007,13.42,5.8072,14.04,8608,195.9,11.531,11.376,nan,nan
256,train,6.1546,0.0001,15.48,6.1181,8.10,8531,196.6,15.506,15.495,nan,nan
257,train,5.3853,0.0108,10.39,5.2941,7.00,10097,197.4,10.704,10.687,nan,nan
258,train,6.4407,0.0009,16.05,6.1609,15.88,9606,198.1,15.600,15.596,nan,nan
259,train,5.9953,0.0022,13.97,5.6760,16.43,8232,198.9,9.907,9.899,nan,nan
260,train,5.9601,0.0020,9.87,5.8925,8.25,10553,199.6,6.646,6.592,nan,nan
261,train,6.5256,0.0039,17.91,6.1897,19.24,9523,200.4,15.624,15.621,nan,nan
262,train,5.3817,0.0248,8.75,5.2196,4.61,8053,201.1,6.553,6.551,nan,nan
263,train,6.3385,0.0009,17.97,6.3428,17.07,12287,201.9,15.199,15.172,nan,nan
264,train,5.4911,0.0139,8.41,5.3120,7.34,9002,202.6,6.342,6.337,nan,nan
265,train,7.3913,0.0001,24.59,7.1696,25.13,7867,203.4,22.002,21.966,nan,nan
266,train,6.1234,0.0013,13.95,6.0772,15.20,11257,204.1,11.187,11.156,nan,nan
267,train,6.0029,0.0091,9.34,5.9140,5.16,10921,204.9,5.756,5.727,nan,nan
268,train,6.8243,0.0000,19.25,6.5526,14.38,10125,205.6,12.319,12.094,nan,nan
269,train,5.6206,0.0218,7.23,5.5228,5.16,9146,206.4,3.787,3.761,nan,nan
270,train,6.2446,0.0004,14.79,5.9763,12.65,10489,207.1,9.679,9.675,nan,nan
271,train,7.6614,0.0001,20.89,6.4610,18.88,8329,207.9,23.176,23.110,nan,nan
272,train,6.9721,0.0011,15.73,5.7167,16.27,9180,208.6,13.443,13.379,nan,nan
273,train,7.3462,0.0458,18.43,6.3968,13.04,10682,209.4,13.681,13.524,nan,nan
274,train,27.0436,0.0000,31.06,12.3912,23.41,8038,210.1,15.404,15.368,nan,nan
275,train,27.5822,0.0005,36.29,8.3740,21.58,8869,210.9,21.678,21.620,nan,nan
276,train,23.4056,0.0000,32.10,9.6210,32.74,9646,211.6,25.407,25.319,nan,nan
