step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
381,train,3.2813,0.1976,9.05,3.2089,14.70,1341,296.8
382,train,4.5079,0.1163,11.67,4.1086,12.27,1393,297.6
383,train,3.8666,0.0785,11.31,3.5094,8.89,1338,298.3
384,train,2.5425,0.2212,4.94,2.6191,4.62,1460,299.1
385,train,3.1249,0.2067,6.64,2.9165,7.13,1311,299.9
386,train,3.7766,0.1385,11.46,3.5205,10.98,1372,300.7
387,train,3.1467,0.1868,7.67,3.3447,7.00,1392,301.4
388,train,3.2052,0.0734,7.05,3.3551,8.38,1376,302.2
389,train,2.7556,0.2544,6.37,2.9368,8.16,1415,303.0
390,train,3.0056,0.3149,7.19,3.1172,6.04,1407,303.7
391,train,2.9983,0.0768,6.93,2.8384,6.54,1472,304.5
392,train,2.7581,0.1550,5.90,2.6444,6.17,1458,305.3
393,train,3.5291,0.1264,11.35,3.4242,11.83,1361,306.0
394,train,3.1701,0.1788,8.41,3.2158,5.77,1415,306.8
395,train,3.3743,0.0701,9.15,2.8288,9.72,1498,307.6
396,train,2.8836,0.3035,8.08,2.8497,10.39,1361,308.4
397,train,3.3443,0.1146,8.71,3.2014,9.12,1405,309.1
398,train,3.6953,0.0596,9.61,3.4577,8.95,1460,309.9
399,train,3.1220,0.0832,7.88,2.8484,8.95,1418,310.7
400,train,3.3547,0.0472,10.70,3.2342,11.63,1376,311.4
401,train,3.7491,0.0520,11.62,3.5127,11.52,1442,312.2
402,train,3.6037,0.0542,10.71,3.4519,9.76,1402,313.0
403,train,3.0846,0.1152,7.25,3.1532,6.98,1458,313.7
404,train,3.0286,0.1084,7.93,3.2261,9.00,1430,314.5
