step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
304,train,3.5608,0.0886,5.70,3.5121,4.72,1568,236.6,nan,nan
305,train,3.8361,0.0466,5.32,3.5683,5.05,1568,237.4,nan,nan
306,train,6.3986,0.0006,15.42,5.6448,15.67,1568,238.2,nan,nan
307,train,5.1321,0.0395,9.97,4.7518,9.62,1568,238.9,nan,nan
308,train,3.3631,0.1154,3.48,3.1845,2.41,1568,239.7,nan,nan
309,train,4.4033,0.0466,9.20,4.3293,8.37,1568,240.5,nan,nan
310,train,3.9812,0.0912,6.13,3.8442,6.37,1568,241.2,nan,nan
311,train,4.0219,0.0746,4.45,3.7127,3.62,1568,242.0,nan,nan
312,train,4.1648,0.0587,8.31,4.0486,8.75,1568,242.8,nan,nan
313,train,3.7138,0.1582,5.34,3.8126,3.50,1568,243.5,nan,nan
314,train,4.2909,0.1154,7.99,3.8426,4.27,1568,244.3,nan,nan
315,train,3.6183,0.1071,4.31,2.9852,2.66,1568,245.1,nan,nan
316,train,3.7255,0.1116,4.39,3.0272,1.56,1568,245.8,nan,nan
317,train,4.2775,0.0242,7.04,4.1261,4.34,1568,246.6,nan,nan
318,train,5.5774,0.0593,11.10,5.5323,9.50,1568,247.4,nan,nan
319,train,4.2230,0.1499,6.40,5.0554,7.77,1568,248.1,nan,nan
320,train,4.0950,0.0255,5.87,3.8683,4.57,1568,248.9,nan,nan
321,train,5.6669,0.0064,12.22,4.7007,12.61,1568,249.7,nan,nan
322,train,4.1203,0.0893,6.55,3.9191,6.89,1568,250.5,nan,nan
323,train,3.7760,0.1722,5.24,4.1926,4.79,1568,251.2,nan,nan
324,train,4.3572,0.0797,7.59,4.3961,7.70,1568,252.0,nan,nan
325,train,4.5033,0.0733,11.34,4.0238,11.14,1568,252.8,nan,nan
326,train,5.1878,0.0070,11.80,4.4383,11.15,1568,253.5,nan,nan
327,train,3.9971,0.1193,9.79,3.4698,10.51,1568,254.3,nan,nan
328,train,4.1914,0.0835,6.60,3.8116,5.36,1568,255.1,nan,nan
329,train,4.7690,0.0389,8.48,4.4190,7.72,1568,255.8,nan,nan
330,train,4.6346,0.0485,9.47,4.3381,8.42,1568,256.6,nan,nan
331,train,3.5679,0.0778,5.87,3.1389,5.01,1568,257.4,nan,nan
