step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
391,train,3.3706,0.1391,9.55,3.2851,9.97,1308,317.1
392,train,3.4266,0.1937,7.96,3.4949,10.04,1404,317.9
393,train,2.7546,0.3258,5.15,2.8575,6.63,1418,318.7
394,train,3.3501,0.1052,8.45,3.2522,8.93,1340,319.5
395,train,2.9980,0.2095,8.27,3.1171,9.51,1365,320.3
396,train,3.3570,0.0726,8.85,2.9354,8.61,1364,321.1
397,train,3.0154,0.2001,5.91,2.8890,5.82,1379,321.9
398,train,2.7926,0.2281,5.80,2.4138,3.33,1403,322.7
399,train,2.9188,0.1824,5.68,2.7353,4.33,1387,323.4
400,train,2.6095,0.2537,5.77,2.7423,7.02,1431,324.3
401,train,3.1568,0.2762,9.00,3.1583,12.13,1434,325.1
402,train,2.6642,0.1905,4.50,2.0964,3.41,1417,325.9
403,train,2.9313,0.1305,5.95,2.9846,5.33,1456,326.7
404,train,3.7322,0.1221,9.67,3.8435,12.36,1458,327.5
